,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
20,3957,UNUS SED LEO,LEO,unus-sed-leo,55,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,924452165.9,985239504.0,False,,21,,,,2024-12-22T05:26:00.000Z,9.30730958397628,1350507.84301874,-44.3549,-0.05556374,0.7644778,-0.64970912,5.51432175,53.22952667,55.66093561,8604162503.6087,0.2611,9169929078.09,,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2024-12-22 00:27:04.546723
21,7083,Uniswap,UNI,uniswap,1149,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",,600483073.71,1000000000.0,False,,22,,,1.55476919,2024-12-22T05:26:00.000Z,13.468237158825758,686109426.5779366,-45.1286,-1.58612567,-4.7312151,-19.4374646,42.64405961,73.28361618,98.5866678,8087448446.586929,0.2454,13468237158.83,5201703562.71899,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-12-22 00:27:04.546723
22,2,Litecoin,LTC,litecoin,1293,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', '2017-2018-alt-season']",84000000.0,75333143.30410936,84000000.0,False,,23,,,,2024-12-22T05:26:00.000Z,97.45235021186838,914165105.6013793,-34.8983,-2.14479189,-5.77781439,-17.23740833,7.68736438,40.83831277,43.14322345,7341391863.832933,0.2228,8185997417.8,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
23,24478,Pepe,PEPE,pepe,494,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,,24,,,,2024-12-22T05:26:00.000Z,1.672962948859536e-05,3015707520.8205223,-38.5946,-4.01238359,-8.52284,-28.29505518,-21.08394954,68.36578064,104.65575072,7037986156.594146,0.2136,7037987829.56,,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,2024-12-22 00:27:04.546723
24,6535,NEAR Protocol,NEAR,near-protocol,479,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1217906155.0,1226379122.0,False,,25,,,,2024-12-22T05:26:00.000Z,4.879850519995514,1679918755.5678809,-18.9104,-1.87927574,-10.46119302,-26.71223375,-15.93911292,5.36970348,4.12072181,5943199983.782487,0.1804,5984546796.2,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
0,1,Bitcoin,BTC,bitcoin,11849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19799453.0,19799453.0,False,,1,,,,2024-12-22T05:30:00.000Z,96243.79236641484,51366342539.76707,-46.3483,-0.56241387,-1.34738926,-6.01719018,-2.82982522,43.48438998,50.90947566,1905574443500.5894,57.8888,2021119639694.71,,2024-12-22T05:30:00.000Z,,,,,,2024-12-22 00:30:31.540654
1,1027,Ethereum,ETH,ethereum,9712,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120455304.53520444,120455304.53520444,True,,2,,,,2024-12-22T05:30:00.000Z,3315.551636237786,31289845073.247334,-48.5398,-0.90328919,-4.70251938,-14.93258912,-2.13951583,26.9402017,24.85614129,399375782045.2179,12.1241,399375782045.22,,2024-12-22T05:30:00.000Z,,,,,,2024-12-22 00:30:31.540654
2,825,Tether USDt,USDT,tether,109588,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,139872815646.75348,143440125286.8632,True,,3,,,,2024-12-22T05:29:00.000Z,0.9993103244865431,142256439465.35342,-41.8604,-0.01119751,-0.02315192,-0.03106931,-0.16136288,0.0095695,-0.07556741,139776348790.80365,4.2462,143341198144.81,,2024-12-22T05:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-22 00:30:31.540654
3,52,XRP,XRP,xrp,1485,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57252380420.0,99986807248.0,False,,4,,,,2024-12-22T05:30:00.000Z,2.191703495623951,14249492761.346571,-45.1611,-1.90599051,-5.24728441,-10.02097657,57.90123524,313.70878674,270.66871354,125480242299.30626,3.8119,219170349562.4,,2024-12-22T05:30:00.000Z,,,,,,2024-12-22 00:30:31.540654
4,1839,BNB,BNB,bnb,2315,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144007700.38,144007700.38,False,,5,,,,2024-12-22T05:30:00.000Z,652.158168944469,2076054391.409274,-31.4434,-1.25502383,-4.99603588,-8.88116852,2.8277437,10.7909012,9.7284477,93915798193.72452,2.853,93915798193.72,,2024-12-22T05:30:00.000Z,,,,,,2024-12-22 00:30:31.540654
